Name	Description	Status  	Startup Type	Log On As
Shared PC Account Manager	Manages profiles and accounts on a SharedPC configured device		Disabled	Local System
Shell Hardware Detection	Provides notifications for AutoPlay hardware events.	Running	Automatic	Local System
SJ App	Surf To Earn application service. If this service is disabled, the Surf To Earn application will not be active.		Automatic	Local System
SJ Updater	Surf To Earn updater service. If this service is disabled, the Surf To Earn application will not be kept up to date.	Running	Automatic	Local System
Smart Card	Manages access to smart cards read by this computer. If this service is stopped, this computer will be unable to read smart cards. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual (Trigger Start)	Local Service
Smart Card Device Enumeration Service	Creates software device nodes for all smart card readers accessible to a given session. If this service is disabled, WinRT APIs will not be able to enumerate smart card readers.		Manual (Trigger Start)	Local System
Smart Card Removal Policy	Allows the system to be configured to lock the user desktop upon smart card removal.		Manual	Local System
SNMP Trap	Receives trap messages generated by local or remote Simple Network Management Protocol (SNMP) agents and forwards the messages to SNMP management programs running on this computer. If this service is stopped, SNMP-based programs on this computer will not receive SNMP trap messages. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual	Local Service
Software Protection	Enables the download, installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled, the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service.		Automatic (Delayed Start, Trigger Start)	Network Service
Spatial Data Service	This service is used for Spatial Perception scenarios		Manual	Local Service
Spot Verifier	Verifies potential file system corruptions.		Manual (Trigger Start)	Local System
SSDP Discovery	Discovers networked devices and services that use the SSDP discovery protocol, such as UPnP devices. Also announces SSDP devices and services running on the local computer. If this service is stopped, SSDP-based devices will not be discovered. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Manual	Local Service
State Repository Service	Provides required infrastructure support for the application model.	Running	Manual	Local System
Still Image Acquisition Events	Launches applications associated with still image acquisition events.		Manual	Local System
Storage Service	Provides enabling services for storage settings and external storage expansion	Running	Automatic (Delayed Start, Trigger Start)	Local System
Storage Tiers Management	Optimizes the placement of data in storage tiers on all tiered storage spaces in the system.		Manual	Local System
Sync Host_71d2a	This service synchronizes mail, contacts, calendar and various other user data. Mail and other applications dependent on this functionality will not work properly when this service is not running.	Running	Automatic (Delayed Start)	Local System
SynTPEnh Caller Service		Running	Automatic	Local System
SysMain	Maintains and improves system performance over time.	Running	Automatic	Local System
System Event Notification Service	Monitors system events and notifies subscribers to COM+ Event System of these events.	Running	Automatic	Local System
System Events Broker	Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered.	Running	Automatic (Trigger Start)	Local System
Task Scheduler	Enables a user to configure and schedule automated tasks on this computer. The service also hosts multiple Windows system-critical tasks. If this service is stopped or disabled, these tasks will not be run at their scheduled times. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic	Local System
TCP/IP NetBIOS Helper	Provides support for the NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution for clients on the network, therefore enabling users to share files, print, and log on to the network. If this service is stopped, these functions might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Manual (Trigger Start)	Local Service
Telephony	Provides Telephony API (TAPI) support for programs that control telephony devices on the local computer and, through the LAN, on servers that are also running the service.	Running	Manual	Network Service
Themes	Provides user experience theme management.	Running	Automatic	Local System
Time Broker	Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered.	Running	Manual (Trigger Start)	Local Service
Touch Keyboard and Handwriting Panel Service	Enables Touch Keyboard and Handwriting Panel pen and ink functionality	Running	Manual (Trigger Start)	Local System
Udk User Service_71d2a	Shell components service		Manual	Local System
Update Orchestrator Service	Manages Windows Updates. If stopped, your devices will not be able to download and install the latest updates.	Running	Automatic (Delayed Start)	Local System
UPnP Device Host	Allows UPnP devices to be hosted on this computer. If this service is stopped, any hosted UPnP devices will stop functioning and no additional hosted devices can be added. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual	Local Service
User Data Access_71d2a	Provides apps access to structured user data, including contact info, calendars, messages, and other content. If you stop or disable this service, apps that use this data might not work correctly.	Running	Manual	Local System
User Data Storage_71d2a	Handles storage of structured user data, including contact info, calendars, messages, and other content. If you stop or disable this service, apps that use this data might not work correctly.	Running	Manual	Local System
User Manager	User Manager provides the runtime components required for multi-user interaction.  If this service is stopped, some applications may not operate correctly.	Running	Automatic (Trigger Start)	Local System
User Profile Service	This service is responsible for loading and unloading user profiles. If this service is stopped or disabled, users will no longer be able to successfully sign in or sign out, apps might have problems getting to users' data, and components registered to receive profile event notifications won't receive them.	Running	Automatic	Local System
Virtual Disk	Provides management services for disks, volumes, file systems, and storage arrays.		Manual	Local System
Volume Shadow Copy	Manages and implements Volume Shadow Copies used for backup and other purposes. If this service is stopped, shadow copies will be unavailable for backup and the backup may fail. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual	Local System
Volumetric Audio Compositor Service	Hosts spatial analysis for Mixed Reality audio simulation.		Manual	Local Service
WalletService	Hosts objects used by clients of the wallet		Manual	Local System
WarpJITSvc	Provides a JIT out of process service for WARP when running with ACG enabled.		Manual (Trigger Start)	Local Service
Web Account Manager	This service is used by Web Account Manager to provide single-sign-on to apps and services.	Running	Manual	Local System
WebClient	Enables Windows-based programs to create, access, and modify Internet-based files. If this service is stopped, these functions will not be available. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual (Trigger Start)	Local Service
Wi-Fi Direct Services Connection Manager Service	Manages connections to wireless services, including wireless display and docking.		Manual (Trigger Start)	Local Service
Windows Audio	Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start	Running	Automatic	Local Service
Windows Audio Endpoint Builder	Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start	Running	Automatic	Local System
Windows Backup	Provides Windows Backup and Restore capabilities.		Manual	Local System
Windows Biometric Service	The Windows biometric service gives client applications the ability to capture, compare, manipulate, and store biometric data without gaining direct access to any biometric hardware or samples. The service is hosted in a privileged SVCHOST process.	Running	Manual (Trigger Start)	Local System
Windows Camera Frame Server	Enables multiple clients to access video frames from camera devices.		Manual (Trigger Start)	Local System
Windows Connect Now - Config Registrar	WCNCSVC hosts the Windows Connect Now Configuration which is Microsoft's Implementation of Wireless Protected Setup (WPS) protocol. This is used to configure Wireless LAN settings for an Access Point (AP) or a Wireless Device. The service is started programmatically as needed.	Running	Manual	Local Service
Windows Connection Manager	Makes automatic connect/disconnect decisions based on the network connectivity options currently available to the PC and enables management of network connectivity based on Group Policy settings.	Running	Automatic (Trigger Start)	Local Service
Windows Defender Firewall	Windows Defender Firewall helps protect your computer by preventing unauthorized users from gaining access to your computer through the Internet or a network.	Running	Automatic	Local Service
Windows Encryption Provider Host Service	Windows Encryption Provider Host Service brokers encryption related functionalities from 3rd Party Encryption Providers to processes that need to evaluate and apply EAS policies. Stopping this will compromise EAS compliancy checks that have been established by the connected Mail Accounts		Manual (Trigger Start)	Local Service
Windows Error Reporting Service	Allows errors to be reported when programs stop working or responding and allows existing solutions to be delivered. Also allows logs to be generated for diagnostic and repair services. If this service is stopped, error reporting might not work correctly and results of diagnostic services and repairs might not be displayed.		Manual (Trigger Start)	Local System
Windows Event Collector	This service manages persistent subscriptions to events from remote sources that support WS-Management protocol. This includes Windows Vista event logs, hardware and IPMI-enabled event sources. The service stores forwarded events in a local Event Log. If this service is stopped or disabled event subscriptions cannot be created and forwarded events cannot be accepted.		Manual	Network Service
Windows Event Log	This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system.	Running	Automatic	Local Service
Windows Font Cache Service	Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance.	Running	Automatic	Local Service
Windows Image Acquisition (WIA)	Provides image acquisition services for scanners and cameras	Running	Automatic (Trigger Start)	Local Service
Windows Insider Service	Provides infrastructure support for the Windows Insider Program. This service must remain enabled for the Windows Insider Program to work.		Manual (Trigger Start)	Local System
Windows Installer	Adds, modifies, and removes applications provided as a Windows Installer (*.msi, *.msp) package. If this service is disabled, any services that explicitly depend on it will fail to start.		Manual	Local System
Windows License Manager Service	Provides infrastructure support for the Microsoft Store.  This service is started on demand and if disabled then content acquired through the Microsoft Store will not function properly.	Running	Manual (Trigger Start)	Local Service
Windows Management Instrumentation	Provides a common interface and object model to access management information about operating system, devices, applications and services. If this service is stopped, most Windows-based software will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic	Local System
Windows Management Service	Performs management including Provisioning and Enrollment activities		Manual	Local System
Windows Media Player Network Sharing Service	Shares Windows Media Player libraries to other networked players and media devices using Universal Plug and Play		Manual	Network Service
Windows Mixed Reality OpenXR Service	Enables Mixed Reality OpenXR runtime functionality		Manual	Local System
Windows Mobile Hotspot Service	Provides the ability to share a cellular data connection with another device.		Manual (Trigger Start)	Local Service
Windows Modules Installer	Enables installation, modification, and removal of Windows updates and optional components. If this service is disabled, install or uninstall of Windows updates might fail for this computer.		Manual	Local System
Windows Perception Service	Enables spatial perception, spatial input, and holographic rendering.		Manual (Trigger Start)	Local Service
Windows Perception Simulation Service	Enables spatial perception simulation, virtual camera management and spatial input simulation.		Manual	Local System
Windows Presentation Foundation Font Cache 3.0.0.0	Optimizes performance of Windows Presentation Foundation (WPF) applications by caching commonly used font data. WPF applications will start this service if it is not already running. It can be disabled, though doing so will degrade the performance of WPF applications.		Manual	Local Service
Windows Push Notifications System Service	This service runs in session 0 and hosts the notification platform and connection provider which handles the connection between the device and WNS server.	Running	Automatic	Local System
Windows Push Notifications User Service_71d2a	This service hosts Windows notification platform which provides support for local and push notifications. Supported notifications are tile, toast and raw.	Running	Automatic	Local System
Windows PushToInstall Service	Provides infrastructure support for the Microsoft Store.  This service is started automatically and if disabled then remote installations will not function properly.		Manual (Trigger Start)	Local System
Windows Remote Management (WS-Management)	Windows Remote Management (WinRM) service implements the WS-Management protocol for remote management. WS-Management is a standard web services protocol used for remote software and hardware management. The WinRM service listens on the network for WS-Management requests and processes them. The WinRM Service needs to be configured with a listener using winrm.cmd command line tool or through Group Policy in order for it to listen over the network. The WinRM service provides access to WMI data and enables event collection. Event collection and subscription to events require that the service is running. WinRM messages use HTTP and HTTPS as transports. The WinRM service does not depend on IIS but is preconfigured to share a port with IIS on the same machine.  The WinRM service reserves the /wsman URL prefix. To prevent conflicts with IIS, administrators should ensure that any websites hosted on IIS do not use the /wsman URL prefix.		Manual	Network Service
Windows Search	Provides content indexing, property caching, and search results for files, e-mail, and other content.	Running	Automatic (Delayed Start)	Local System
Windows Security Service	Windows Security Service handles unified device protection and health information	Running	Manual	Local System
Windows Time	Maintains date and time synchronization on all clients and servers in the network. If this service is stopped, date and time synchronization will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic (Delayed Start, Trigger Start)	Local Service
Windows Update	Enables the detection, download, and installation of updates for Windows and other programs. If this service is disabled, users of this computer will not be able to use Windows Update or its automatic updating feature, and programs will not be able to use the Windows Update Agent (WUA) API.	Running	Manual (Trigger Start)	Local System
Windows Update Medic Service	Enables remediation and protection of Windows Update components.		Manual	Local System
WinHTTP Web Proxy Auto-Discovery Service	WinHTTP implements the client HTTP stack and provides developers with a Win32 API and COM Automation component for sending HTTP requests and receiving responses. In addition, WinHTTP provides support for auto-discovering a proxy configuration via its implementation of the Web Proxy Auto-Discovery (WPAD) protocol.	Running	Manual	Local Service
Wired AutoConfig	The Wired AutoConfig (DOT3SVC) service is responsible for performing IEEE 802.1X authentication on Ethernet interfaces. If your current wired network deployment enforces 802.1X authentication, the DOT3SVC service should be configured to run for establishing Layer 2 connectivity and/or providing access to network resources. Wired networks that do not enforce 802.1X authentication are unaffected by the DOT3SVC service.		Manual	Local System
WLAN AutoConfig	The WLANSVC service provides the logic required to configure, discover, connect to, and disconnect from a wireless local area network (WLAN) as defined by IEEE 802.11 standards. It also contains the logic to turn your computer into a software access point so that other devices or computers can connect to your computer wirelessly using a WLAN adapter that can support this. Stopping or disabling the WLANSVC service will make all WLAN adapters on your computer inaccessible from the Windows networking UI. It is strongly recommended that you have the WLANSVC service running if your computer has a WLAN adapter.	Running	Automatic	Local System
WMI Performance Adapter	Provides performance library information from Windows Management Instrumentation (WMI) providers to clients on the network. This service only runs when Performance Data Helper is activated.		Manual	Local System
Wondershare Driver Install Service help			Automatic	Local System
Wondershare Install Assist Service	Wondershare Install Assist Service		Automatic	Local System
Wondershare WirelessBackup Service help			Automatic	Local System
Wondershare WSID help		Running	Automatic	Local System
Work Folders	This service syncs files with the Work Folders server, enabling you to use the files on any of the PCs and devices on which you've set up Work Folders.		Manual	Local Service
Workstation	Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.	Running	Automatic	Network Service
WWAN AutoConfig	This service manages mobile broadband (GSM & CDMA) data card/embedded module adapters and connections by auto-configuring the networks. It is strongly recommended that this service be kept running for best user experience of mobile broadband devices.		Manual	Local System
Xbox Accessory Management Service	This service manages connected Xbox Accessories.		Manual (Trigger Start)	Local System
Xbox Live Auth Manager	Provides authentication and authorization services for interacting with Xbox Live. If this service is stopped, some applications may not operate correctly.		Manual	Local System
Xbox Live Game Save	This service syncs save data for Xbox Live save enabled games.  If this service is stopped, game save data will not upload to or download from Xbox Live.		Manual (Trigger Start)	Local System
Xbox Live Networking Service	This service supports the Windows.Networking.XboxLive application programming interface.		Manual	Local System
